"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","coordinatePrecision","geoFlag","typeStatus","relationshipType","relatedCatalogItem","class"
"42","2020-09-12 05:00:02-03","US","US","2195854","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F. Austin","A. Macedo","83","1943","10","16","South America","Brazil",NA,"S. Vicente, Municipio Ituiutaba, Estado Mg.",NA,NA,"US03152234","US03152234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"Dicotyledonae"
"43","2020-09-02 16:23:24-03","Cenargen","CEN","66626","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","aequiloba","Ipomoea aequiloba","J.R.I.Wood & Scotland","Glocimar Pereira-Silva","9483","2005","02","21",NA,"Brasil","TO","Estrada vicinal à Ferrovia Norte Sul, km 18.","Exsicatas","HOLOTYPUS. Área de influência indireta.","CEN00066626","CEN00066626","TOCANTINOPOLIS","-47.498888","-6.6472222",NA,"190","190",NA,NA,NA,"-47.498888","-6.6472222",NA,"3",NA,NA,"HOLOTYPUS",NA,NA,NA
"44","2020-09-02 16:23:24-03","Cenargen","CEN","55040","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Aécio Amaral-Santos","2197","2004","03","09",NA,"Brasil","GO","Povoado de São Vicente, próximo ao cemitério, à beira da estrada.","Exsicatas",NA,"CEN00055040","CEN00055040","SAO DOMINGOS","-46.446111","-13.523611","R. Simão-Bianchini","579","579","2006","07",NA,"-46.446111","-13.523611",NA,"5",NA,NA,NA,NA,NA,NA
"45","2020-09-02 16:23:24-03","Cenargen","CEN","68021","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Glocimar Pereira-Silva","12442","2008","01","09",NA,"Brasil","MA","Estrada Estreito - São Pedro dos Crentes, km 63.","Exsicatas","Afloramento de rochas areníticas. Plantas vegetando na fina camada de litossolo. Área de influência indireta.","CEN00068021","CEN00068021","ESTREITO","-47.020277","-6.8519444","B. M. T. Walter","350","350","2012","01",NA,"-47.020277","-6.8519444",NA,"3",NA,NA,NA,NA,NA,NA
"46","2020-09-02 16:23:24-03","Cenargen","CEN","68124","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Glocimar Pereira-Silva","12546","2008","01","12",NA,"Brasil","TO","Estrada do rio Curicaca, a partir da BR - 153, km 3,5, marcado do povoado.","Exsicatas","Área de influência indireta.","CEN00068124","CEN00068124","PALMEIRAS DO TOCANTINS","-47.566388","-6.6461111","B. M. T. Walter","200","200","2012","01",NA,"-47.566388","-6.6461111",NA,"4",NA,NA,NA,NA,NA,NA
"47","2020-09-02 16:23:24-03","Cenargen","CEN","77244","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Glocimar Pereira-Silva","8240","2003","12","06",NA,"Brasil","GO","Fazenda Irmãos Gravia.","Exsicatas",NA,"CEN00077244","CEN00077244","ALVORADA DO NORTE","-46.716944","-14.570555","B. M. T. Walter","430","430","2012","01",NA,"-46.716944","-14.570555",NA,"5",NA,NA,NA,NA,NA,NA
"48","2020-09-02 16:23:24-03","Cenargen","CEN","99531","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Glocimar Pereira-Silva","13922","2008","12","10",NA,"Brasil","TO","Margem oeste da ferrovia Norte/Sul.","Exsicatas","Área de influência direta (APP).","CEN00099531","CEN00099531","PALMEIRAS DO TOCANTINS","-47.505","-6.6394444","J.R.I.Wood","150","150","2013","05",NA,"-47.505","-6.6394444",NA,"4",NA,NA,NA,NA,NA,NA
"49","2019-10-07 09:17:44-03","UEFS","HUEFS","244405","PreservedSpecimen","Plantae","Angiospermae","Solanales","Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Silva, C.","1258","2017","05","25",NA,"Brasil","Pará","Flona de Carajás, S-11D - Lagoa do Amendoim, canga, próximo à lagoa. 740 m.",NA,NA,"HUEFS0244405",NA,"Canaã dos Carajás","-50.373056","-6.396667",NA,NA,NA,NA,NA,NA,"50W22'23''","6S23'48''",NA,NA,NA,NA,NA,NA,NA,"Asteranae"
"50","2018-06-12 17:22:44-03","F","FMNH-SEEDPLANTS","V0441629F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis",NA,"A. Krapovickas & A. Schinini","32751","1977","6","27","South America","Brazil",NA,NA,NA,NA,"V0441629F","V0441629F_01",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"51","2018-06-12 17:22:51-03","F","FMNH-SEEDPLANTS","V0441632F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis",NA,"T. Plowman & et al.","9277","1980","2","28","South America","Brazil",NA,NA,NA,NA,"V0441632F","V0441632F_01",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae"
"52","2019-11-01 14:56:51-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Convolvulaceae","Ipomoea","mucronatoproducta","Ipomoea mucronatoproducta","J.R.I.Wood & Scotland","Wood, JRI; Villarroel, D","25474","2008","11","21","Southern America","Bolivia","Santa Cruz","1km del Rincon del Tigre, del porton de la entrada a la misión sobre ele camino hacia el Carmen Rivero Torrez",NA,"Planta rastrera, con tallos de hasta 1.5m de largo, flores con pétalos rosados, los lóbulos con puntas en los ápices; Zona de Cerrado con suelos oscuros y estacionalmente húmedos cubierto por un cerrado con muchos arbustos dispersos","UB0036940","UB0036940","Prov. Germán Busch","-56.1131","-18.1212",NA,"208","208",NA,NA,NA,"-56.1131","-18.1212",NA,NA,NA,NA,"isotype",NA,NA,NA
"53","2021-01-11 11:19:33-03","IBt","SP","475852","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Lobato, LC","4389","2015","03","22",NA,"Brasil","Pará",NA,NA,NA,NA,NA,"Canaã dos Carajás","-49.8782997131348","-6.49694013595581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80513","auto",NA,NA,NA,NA
"54","2020-10-08 08:52:33-03","IBt","SP","337711","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Secco, RS","132","1982","05","12",NA,"Brasil","Pará",NA,NA,NA,NA,NA,"Marabá","-49.1178016662598","-5.36860990524292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"262883","auto",NA,NA,NA,NA
"55","2021-01-11 11:19:33-03","IBt","SP","475853","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea","carajasensis","Ipomoea carajasensis","D.F.Austin","Trindade, JR","233","2015","06","22",NA,"Brasil","Pará",NA,NA,NA,NA,NA,"Parauapebas","-49.9021987915039","-6.06750011444092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"147801","auto",NA,NA,NA,NA
