nome_aceito_correto,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp
Chomelia brasiliana,NA-NA-NA,LC-LC-NA,NA-NA-NA,NA-NA-CR,LC-NA-CR,NA-NA-EX
Chomelia obtusa,"NA",EN,"NA","NA",EN,"NA"
Chomelia pedunculosa,"NA",LC,"NA","NA",LC,"NA"
Chomelia pohliana,"NA",LC,"NA","NA","NA","NA"
Chondrodendron platiphyllum,"NA","NA","NA","NA",DD,"NA"
Chresta souzae,"NA","NA","NA",EN,"NA","NA"
Chresta sphaerocephala,"NA","NA","NA","NA",LC,"NA"
Christiana macrodon,"NA","NA","NA","NA",EN,"NA"
Chromolaena arrayana,"NA","NA","NA",EN,EN,VU
Chromolaena barbacensis,"NA","NA","NA","NA",LC,"NA"
Chromolaena costatipes,"NA","NA","NA",EN,"NA","NA"
Chromolaena elliptica,"NA","NA","NA","NA",LC,EX
Chromolaena latisquamulosa,"NA","NA","NA","NA",DD,VU
Chromolaena paraguariensis,"NA","NA","NA",EN,"NA","NA"
Chromolaena rhinanthacea,"NA","NA","NA",EN,EN,EX
Chromolucuma apiculata,"NA","NA","NA","NA",DD,"NA"
Chronopappus bifrons,"NA","NA","NA",VU,"NA","NA"
Chrysobalanus icaco,"NA",LC,"NA","NA","NA","NA"
Chrysoblastella chilensis,"NA","NA","NA",EN,"NA","NA"
Chrysolaena dusenii,"NA","NA","NA",EN,EN,"NA"
Chrysolaena nicolackii,"NA","NA","NA",VU,"NA","NA"
Chrysophyllum acreanum,"NA","NA","NA","NA",DD,"NA"
Chrysophyllum bombycinum,"NA","NA","NA","NA",DD,"NA"
Chrysophyllum durifructum,"NA","NA","NA","NA",DD,"NA"
Chrysophyllum flexuosum,"NA",LR/cd,"NA","NA",LC,"NA"
Chrysophyllum gonocarpum,"NA",LC,"NA","NA","NA","NA"
Chrysophyllum imperiale,"NA",EN,"NA",EN,EN,EN
Chrysophyllum inornatum,"NA",LR/cd,"NA","NA",LC,"NA"
Chrysophyllum januariense,"NA","NA","NA",VU,"NA","NA"
Chrysophyllum marginatum,"NA",LC,"NA","NA","NA","NA"
Chrysophyllum ovale,"NA","NA","NA","NA",DD,"NA"
Chrysophyllum paranaense,"NA","NA","NA","NA",DD,"NA"
Chrysophyllum subspinosum,"NA","NA","NA","NA",DD,"NA"
Chrysophyllum superbum,"NA","NA","NA","NA",DD,"NA"
Chrysophyllum viride,"NA",LR/nt,"NA","NA",NT,"NA"
Chusquea acuminata,"NA","NA","NA","NA",DD,"NA"
Chusquea anelythra,"NA","NA","NA","NA","NA",EX
Chusquea attenuata,"NA","NA","NA",EN,EN,"NA"
Chusquea baculifera,"NA","NA","NA",CR,"NA","NA"
Chusquea bambusoides,"NA",LC,"NA","NA","NA","NA"
Chusquea erecta,"NA","NA","NA",EN,EN,EN
Chusquea heterophylla,"NA","NA","NA",EN,EN,CR
Chusquea pinifolia,"NA","NA","NA","NA",LC,CR
Chusquea pulchella,"NA","NA","NA",EN,EN,EN
Chusquea tenuiglumis,"NA","NA","NA",CR,CR,CR
Chytroglossa paulensis,"NA","NA","NA","NA",DD,EX
Cienfuegosia drummondii,"NA","NA","NA","NA",DD,"NA"
Cienfuegosia sulfurea,"NA","NA","NA","NA",DD,"NA"
Cinnamodendron dinisii,"NA","NA","NA","NA",LC,"NA"
Cinnamodendron occhionianum,"NA","NA","NA","NA",CR,"NA"
Cinnamomum erythropus,"NA","NA","NA",EN,"NA","NA"
Cinnamomum hatschbachii,"NA","NA","NA",VU,"NA","NA"
Cinnamomum quadrangulum,"NA","NA","NA",VU,"NA","NA"
Cinnamomum stenophyllum,"NA","NA","NA","NA",LC,"NA"
Cinnamomum taubertianum,"NA","NA","NA","NA",DD,"NA"
Cinnamomum triplinerve,"NA","NA","NA","NA",LC,"NA"
Cipocereus bradei,"NA","NA","NA",VU,"NA","NA"
Cipocereus crassisepalus,"NA","NA","NA",EN,"NA","NA"
Cipocereus laniflorus,"NA","NA","NA",EN,"NA","NA"
Cipocereus minensis,"NA","NA","NA",VU,"NA","NA"
Cipocereus pusilliflorus,"NA","NA","NA",CR,"NA","NA"
Cirrhaea dependens,"NA","NA","NA","NA",LC,"NA"
Cirrhaea fuscolutea,"NA","NA",EN,EN,EN,EN
Cirrhaea loddigesii,"NA","NA","NA",CR,CR,CR
Cirrhaea longiracemosa,"NA","NA","NA",VU,VU,VU
Cissampelos pareira,"NA","NA","NA","NA",LC,"NA"
Cissus apendiculata,"NA","NA","NA",EN,"NA","NA"
Cissus inundata,"NA","NA","NA",VU,"NA","NA"
Cissus serroniana,"NA","NA","NA","NA",NT,"NA"
Cissus stipulata,"NA","NA","NA","NA",LC,"NA"
Cissus trianae,"NA","NA","NA","NA",DD,"NA"
Citharexylum obtusifolium,"NA","NA","NA",EN,"NA","NA"
Citharexylum solanaceum,"NA","NA","NA","NA",LC,"NA"
Citronella gongonha,"NA",LC,"NA","NA","NA","NA"
Cladium mariscus,"NA",LC,"NA","NA","NA","NA"
Clarisia ilicifolia,"NA",LC,"NA","NA","NA","NA"
Clarisia racemosa,"NA",LC,"NA","NA","NA","NA"
Clavija nutans,"NA","NA","NA","NA",NE,"NA"
Clavija spinosa,"NA","NA","NA","NA","NA",EN
Cleistes aphylla,"NA","NA","NA",EN,"NA","NA"
Cleistes exilis,"NA","NA","NA","NA",LC,"NA"
Cleistes montana,"NA","NA","NA","NA",LC,"NA"
Cleistes paranaensis,"NA","NA","NA","NA",LC,"NA"
Cleistes ramboi,"NA","NA","NA","NA",LC,"NA"
Cleistes rodriguesii,NA-NA,LC-NA,NA-NA,NA-NA,NA-LC,NA-NA
Cleistes tenuis,"NA","NA","NA","NA",LC,"NA"
Clematis campestris,"NA","NA","NA","NA",LC,EW
Clethra scabra,"NA",LC,"NA","NA",LC,"NA"
Clidemia capitellata,"NA",LC,"NA","NA","NA","NA"
Clidemia dentata,"NA",LC,"NA","NA","NA","NA"
Clidemia sericea,"NA","NA","NA","NA","NA",VU
Cliococca selaginoides,"NA","NA","NA","NA",LC,"NA"
Clitoria densiflora,"NA","NA","NA","NA",LC,"NA"
Clitoria epetiolata,"NA","NA","NA","NA",NT,"NA"
Clitoria laurifolia,"NA","NA","NA","NA",LC,"NA"
Clusia aemygdioi,"NA","NA","NA",EN,"NA","NA"
Clusia lanceolata,"NA",LC,"NA","NA","NA","NA"
Cnidoscolus adenoblepharus,"NA","NA","NA","NA",DD,"NA"
Cnidoscolus froesii,"NA","NA","NA","NA",DD,"NA"
Cnidoscolus monsanto,"NA","NA","NA","NA",DD,"NA"
Cnidoscolus oligandrus,"NA",LC,"NA","NA","NA","NA"
Cnidoscolus urens,"NA",LC,"NA","NA","NA","NA"
Coccoloba declinata,"NA",LC,"NA","NA","NA","NA"
Coccoloba glaziovii,"NA",LC,"NA","NA","NA","NA"
Coccoloba mollis,"NA",LC,"NA","NA","NA","NA"
Coccoloba paraguariensis,"NA","NA","NA","NA",NE,"NA"
Coccoloba striata,"NA",LC,"NA","NA","NA","NA"
Coccoloba warmingii,"NA",LC,"NA","NA","NA","NA"
Cochlospermum regium,"NA",LC,"NA","NA",LC,"NA"
Codonanthe carnosa,"NA","NA","NA",VU,VU,VU
Codonanthe devosiana,"NA","NA","NA","NA",LC,"NA"
Codonanthe gracilis,"NA","NA","NA","NA",LC,"NA"
Codonanthe venosa,"NA","NA","NA",VU,VU,VU
Codonorchis canisioi,"NA","NA","NA",CR,"NA","NA"
Coffea arabica,"NA",EN,"NA","NA","NA","NA"
Colanthelia cingulata,"NA","NA","NA","NA","NA",VU
Colanthelia macrostachya,"NA","NA","NA",EN,EN,EX
Coleocephalocereus buxbaumianus,"NA","NA","NA",VU,"NA","NA"
Coleocephalocereus fluminensis,"NA",LC,"NA","NA","NA","NA"
Coleocephalocereus purpureus,"NA","NA","NA",EN,"NA","NA"
Collaea speciosa,"NA",LC,"NA","NA",LC,"NA"
Colletia exserta,"NA","NA","NA",EN,"NA","NA"
Colletia paradoxa,"NA","NA","NA",EN,"NA","NA"
Cololobus longiangustatus,"NA","NA","NA",EN,"NA","NA"
Cololobus rupestris,"NA","NA","NA",EN,"NA","NA"
Colubrina glandulosa,"NA",LC,"NA","NA",LC,"NA"
Colubrina retusa,"NA","NA","NA","NA",LC,EN
Columnea sanguinea,"NA","NA","NA","NA",DD,"NA"
Comanthera bahiensis,"NA","NA","NA",EN,"NA","NA"
Comanthera brasiliana,"NA","NA","NA",CR,"NA","NA"
Comanthera elegans,"NA","NA","NA",EN,"NA","NA"
Comanthera harleyi,"NA","NA","NA",VU,"NA","NA"
Comanthera magnifica,"NA","NA","NA","NA",DD,"NA"
Comanthera mucugensis,"NA","NA","NA",EN,"NA","NA"
Comanthera suberosa,"NA","NA","NA","NA",DD,"NA"
Combretum laxum,"NA",LC,"NA","NA","NA","NA"
Combretum rupicola,"NA","NA","NA",CR,"NA","NA"
Commelina diffusa,"NA",LC,"NA","NA","NA","NA"
Comparettia falcata var. paulensis,"NA","NA","NA","NA",DD,"NA"
Conceveiba prealta,"NA","NA","NA","NA",DD,"NA"
Conchocarpus bellus,"NA","NA","NA",CR,"NA","NA"
Conchocarpus cauliflorus,"NA","NA","NA",CR,"NA","NA"
Conchocarpus coeruleus,"NA","NA","NA",EN,"NA","NA"
Conchocarpus fontanesianus,"NA",LC,"NA","NA",LC,"NA"
Conchocarpus marginatus,"NA","NA","NA",CR,"NA","NA"
Conchocarpus ruber,"NA","NA","NA","NA",NE,"NA"
Condalia buxifolia,"NA","NA","NA",EN,"NA","NA"
Connarus rostratus,"NA","NA","NA","NA",LC,"NA"
Connarus suberosus,"NA",LC,"NA","NA","NA","NA"
Conocarpus erectus,"NA",LC,"NA","NA","NA","NA"
Constantia cipoensis,"NA","NA","NA",CR,"NA","NA"
Constantia cristinae,"NA","NA","NA","NA",DD,"NA"
Constantia microscopica,"NA","NA","NA","NA",DD,"NA"
Constantia rupestris,"NA","NA","NA","NA",DD,"NA"
Convolvulus hasslerianus,"NA","NA","NA","NA",DD,EX
Copaifera langsdorffii,"NA",LC,"NA","NA","NA","NA"
Copaifera lucens,"NA","NA","NA","NA",LC,"NA"
Copaifera trapezifolia,"NA",LC,"NA","NA","NA","NA"
Cordia insignis,"NA",LC,"NA","NA","NA","NA"
Cordia magnoliifolia,"NA","NA","NA","NA",LC,"NA"
Cordia ochnacea,"NA","NA","NA","NA",EN,"NA"
Cordia sellowiana,"NA",LC,"NA","NA","NA","NA"
Cordia silvestris,"NA","NA","NA","NA",LC,VU
Cordia superba,"NA",LC,"NA","NA","NA","NA"
Cordia taguahyensis,"NA",LC,"NA","NA","NA","NA"
Cordia tarodae,"NA","NA","NA","NA",EN,"NA"
Cordia trichoclada,"NA","NA","NA","NA",LC,VU
Cordia trichotoma,"NA",LC,"NA","NA","NA","NA"
Cordiera myrciifolia,"NA",LC,"NA","NA","NA","NA"
Corymborkis flava,"NA","NA","NA","NA",LC,"NA"
Couepia belemii,"NA","NA","NA",VU,"NA","NA"
Couepia carautae,"NA","NA","NA",EN,"NA","NA"
Couepia cidiana,"NA","NA","NA","NA",DD,"NA"
Couepia joaquinae,"NA","NA","NA",CR,"NA","NA"
Couepia leitaofilhoi,"NA",EN,"NA",VU,EN,VU
Couepia marleneae,"NA","NA","NA","NA",DD,"NA"
Couepia meridionalis,CR,CR,"NA",CR,CR,EX
Couepia monteclarensis,"NA","NA","NA","NA",LC,"NA"
Couepia morii,"NA","NA","NA","NA",DD,"NA"
Couepia pernambucensis,"NA","NA","NA","NA",DD,"NA"
Couepia reflexa,"NA","NA","NA","NA",DD,"NA"
Couepia schottii,"NA","NA","NA",EN,"NA","NA"
Couepia stipularis,"NA","NA","NA","NA",DD,"NA"
Couepia venosa,"NA",LC,"NA","NA",LC,"NA"
Couratari asterotricha,"NA","NA","NA",EN,"NA","NA"
Couratari longipedicellata,"NA","NA","NA","NA",DD,"NA"
Couratari prancei,"NA","NA","NA","NA",DD,"NA"
Couratari pyramidata,"NA","NA","NA",EN,"NA","NA"
Coussapoa floccosa,"NA","NA","NA","NA",DD,"NA"
Coussapoa microcarpa,"NA",LC,"NA","NA","NA","NA"
Coussarea accedens,"NA",VU,"NA","NA",VU,"NA"
Coussarea bocainae,"NA",EN,"NA",EN,EN,EN
Coussarea hydrangeifolia,"NA","NA","NA","NA",LC,"NA"
Coussarea insignis,"NA","NA","NA","NA",DD,"NA"
Coussarea meridionalis,"NA",LC,"NA","NA","NA","NA"
Coussarea nodosa,"NA","NA","NA","NA",LC,"NA"
Coutarea hexandra,"NA",LC,"NA","NA","NA","NA"
Cranfillia caudata,"NA","NA","NA",VU,"NA","NA"
Cranichis candida,"NA","NA","NA","NA",LC,"NA"
Crassula peduncularis,"NA","NA","NA",CR,"NA","NA"
Cratylia intermedia,"NA","NA","NA","NA",LC,EX
Cratylia isopetala,"NA","NA","NA","NA",LC,EX
Crinum americanum,"NA","NA","NA","NA","NA",VU
Critonia morifolia,"NA",LC,"NA","NA","NA","NA"
Critoniopsis quinqueflora,"NA","NA","NA","NA",LC,"NA"
Crocanthemum brasiliensis,"NA","NA","NA",EN,"NA","NA"
Crotalaria lanceolata,"NA",LC,"NA","NA","NA","NA"
Crotalaria micans,"NA",LC,"NA","NA","NA","NA"
Crotalaria otoptera,"NA","NA",VU,"NA",LC,VU
Crotalaria subdecurrens,"NA","NA","NA","NA",LC,"NA"
Croton aberrans,"NA","NA","NA","NA",NE,"NA"
Croton alchorneicarpus,"NA",LC,"NA","NA",LC,"NA"
Croton celtidifolius,"NA","NA","NA","NA",LC,"NA"
Croton compressus,"NA","NA","NA","NA",LC,EN
Croton floribundus,"NA","NA","NA","NA",LC,"NA"
Croton glechomifolius,"NA","NA","NA","NA",DD,CR
Croton gracilipes,"NA","NA","NA","NA",LC,"NA"
Croton hemiargyreus,"NA",EN,"NA","NA",EN,"NA"
Croton hirtus,"NA","NA","NA","NA",LC,"NA"
Croton ichthygaster,"NA","NA","NA","NA",NE,"NA"
Croton leptobotryus,NA-NA,NA-NA,NA-NA,VU-NA,VU-NA,VU-VU
Croton luetzelburgii,"NA","NA","NA","NA",DD,"NA"
Croton macrobothrys,"NA","NA","NA","NA",LC,"NA"
Croton oliganthus,"NA","NA","NA","NA",DD,"NA"
Croton piptocalyx,"NA","NA","NA","NA",LC,"NA"
Croton priscus,"NA","NA","NA","NA",EN,"NA"
Croton pseudopopulus,"NA","NA","NA","NA",DD,"NA"
Croton salutaris,"NA","NA","NA","NA",LC,"NA"
Croton serratifolius,"NA","NA","NA","NA",LC,CR
Croton sphaerogynus,"NA","NA","NA","NA",LC,VU
Croton tricolor,"NA",LC,"NA","NA","NA","NA"
Croton urucurana,"NA","NA","NA","NA",NE,"NA"
Croton vulnerarius,"NA",LC,"NA","NA",LC,"NA"
Crumenaria choretroides,"NA","NA","NA","NA",LC,VU
Crumenaria polygaloides,"NA","NA","NA","NA",LC,"NA"
Cryptanthus capitatus,"NA","NA","NA",EN,"NA","NA"
Cryptanthus coriaceus,"NA","NA","NA",EN,"NA","NA"
Cryptanthus correia-araujoi,"NA","NA","NA","NA",DD,"NA"
Cryptanthus dorothyae,"NA","NA","NA",EN,"NA","NA"
Cryptanthus grazielae,"NA","NA","NA","NA",DD,"NA"
Cryptanthus lutherianus,"NA","NA","NA","NA",DD,"NA"
Cryptanthus maritimus,"NA","NA","NA",EN,"NA","NA"
Cryptanthus minarum,"NA","NA","NA",EN,"NA","NA"
Cryptanthus zonatus,NA-NA,NA-NA,NA-NA,CR-VU,NA-NA,NA-NA
Cryptocarya aschersoniana,"NA",LC,"NA","NA","NA","NA"
Cryptocarya botelhensis,"NA","NA","NA","NA","NA",VU
Cryptocarya mandioccana,"NA",LC,"NA","NA","NA","NA"
Cryptocarya micrantha,"NA",LC,VU,"NA",LC,VU
Cryptocarya moschata,"NA",LC,"NA","NA","NA","NA"
Cryptocarya saligna,"NA",LC,"NA","NA","NA","NA"
Cryptochloa capillata,"NA","NA","NA","NA",LC,"NA"
Ctenardisia speciosa,"NA","NA","NA","NA",DD,"NA"
Ctenitis anniesii,"NA","NA","NA","NA",LC,"NA"
Ctenitis eriocaulis,"NA","NA","NA","NA",LC,"NA"
Ctenitis fenestralis,"NA","NA","NA","NA",DD,"NA"
Ctenium brevispicatum,"NA","NA","NA","NA",LC,CR
Ctenium cirrosum,NA-NA,NA-NA,EN-NA,NA-NA,DD-DD,EN-EN
Ctenodon brasilianus,"NA",LC,"NA","NA","NA","NA"
Ctenodon brevipes,"NA",LC,"NA","NA","NA","NA"
Ctenodon lacabuendianus,"NA","NA","NA",EN,"NA","NA"
Ctenodon marginatus,"NA",LC,"NA","NA","NA","NA"
Ctenodon racemosus,"NA",LC,"NA","NA","NA","NA"
Culcita coniifolia,"NA","NA","NA","NA",NT,"NA"
Cunila incana,NA-NA,NA-NA,NA-NA,NA-NA,EN-NE,NA-NA
Cupania bracteosa,"NA",LC,"NA","NA","NA","NA"
Cupania castaneaefolia,"NA","NA","NA","NA",DD,"NA"
Cupania concolor,"NA","NA","NA",VU,NT,VU
Cupania emarginata,"NA",LC,"NA","NA","NA","NA"
Cupania furfuracea,"NA","NA","NA",VU,NT,VU
Cupania ludowigii,"NA","NA","NA","NA",LC,"NA"
Cupania oblongifolia,"NA",LC,"NA","NA","NA","NA"
Cupania olivacea,"NA","NA","NA","NA",DD,"NA"
Cupania tenuivalvis,"NA",LC,"NA","NA",LC,"NA"
Cupania vernalis,"NA",LC,"NA","NA","NA","NA"
Cupania zanthoxyloides,"NA","NA","NA","NA",LC,"NA"
Cuphea adenophylla,"NA","NA","NA",CR,"NA","NA"
Cuphea arenarioides,"NA","NA",EN,VU,VU,EN
Cuphea bahiensis,"NA","NA","NA",EN,"NA","NA"
Cuphea cipoensis,"NA","NA","NA",EN,"NA","NA"
Cuphea cuiabensis,"NA","NA","NA",EN,"NA","NA"
Cuphea glaziovii,"NA","NA","NA",EN,EN,"NA"
Cuphea glutinosa,"NA","NA","NA","NA",LC,"NA"
Cuphea hatschbachii,"NA","NA","NA","NA",NE,"NA"
Cuphea linarioides,"NA","NA","NA","NA",LC,"NA"
Cuphea lindmaniana,"NA","NA","NA",EN,"NA","NA"
Cuphea lutescens,"NA","NA","NA","NA",LC,VU
Cuphea melvilla,"NA",LC,"NA","NA",LC,"NA"
Cuphea repens,"NA","NA","NA","NA",LC,"NA"
Cuphea rubrovirens,"NA","NA","NA",CR,"NA","NA"
Cuphea teleandra,"NA","NA","NA",CR,"NA","NA"
Cuphea urbaniana,"NA","NA","NA","NA",NE,"NA"
Curculigo scorzonerifolia,"NA","NA","NA","NA",LC,"NA"
Curitiba prismatica,"NA","NA","NA","NA",VU,"NA"
Curtia tenuifolia,"NA","NA",CR,"NA",LC,CR
Cuscuta obtusiflora,"NA","NA","NA","NA",NT,"NA"
Cyanaeorchis arundinae,"NA","NA","NA","NA",LC,"NA"
Cyanocephalus apertiflorus,"NA","NA","NA",VU,"NA","NA"
Cyanocephalus bombycinus,"NA","NA","NA","NA",DD,"NA"
Cyanocephalus caprariifolius,"NA","NA","NA",EN,"NA","NA"
Cyanocephalus delicatulus,"NA","NA","NA",EN,"NA","NA"
Cyanocephalus digitatus,"NA","NA","NA",EN,"NA","NA"
Cyanocephalus lippioides,"NA",LC,"NA","NA",LC,"NA"
Cyanocephalus tagetifolius,"NA","NA","NA",EN,"NA","NA"
Cyanocephalus tenuifolius,"NA","NA","NA","NA",NT,"NA"
Cyanocephalus viaticus,"NA","NA","NA",EN,"NA","NA"
Cyathea corcovadensis,"NA","NA","NA","NA",LC,"NA"
Cyathea glaziovii,"NA","NA","NA","NA",LC,"NA"
Cyathea poeppigii,"NA","NA","NA","NA",DD,"NA"
Cyathea pungens,"NA","NA","NA","NA",LC,"NA"
Cyathea uleana,"NA","NA","NA","NA",LC,"NA"
Cybianthus densicomus,"NA","NA","NA","NA",LC,"NA"
Cybianthus detergens,"NA",LC,"NA","NA","NA","NA"
Cybianthus goyazensis,"NA",LC,"NA","NA",LC,"NA"
Cybianthus peruvianus,"NA",LC,"NA","NA","NA","NA"
Cyclolobium brasiliense,"NA",LC,"NA","NA","NA","NA"
Cyclopogon dutrae,"NA","NA","NA",EN,"NA","NA"
Cyclopogon longibracteatus,"NA",LC,"NA","NA","NA","NA"
Cyclosorus interruptus,"NA",LC,"NA","NA","NA","NA"
Cycnoches pentadactylum,"NA","NA","NA",EN,"NA","NA"
Cylindrocolea rhizantha,"NA","NA","NA","NA",LC,"NA"
Cymbocarpa refracta,"NA","NA","NA","NA",LC,"NA"
Cynophalla flexuosa,"NA",LC,"NA","NA","NA","NA"
Cyperus appendiculatus var. atlanticus,"NA","NA","NA",VU,"NA","NA"
Cyperus articulatus,"NA",LC,"NA","NA","NA","NA"
Cyperus brasiliensis,"NA",LC,"NA","NA","NA","NA"
Cyperus brevifolius,"NA",LC,"NA","NA","NA","NA"
Cyperus compressus,"NA",LC,"NA","NA","NA","NA"
Cyperus digitatus,"NA",LC,"NA","NA","NA","NA"
Cyperus distans,"NA",LC,"NA","NA","NA","NA"
Cyperus drummondii,"NA",LC,"NA","NA","NA","NA"
Cyperus eragrostis,"NA",LC,"NA","NA","NA","NA"
Cyperus flavescens,NA-NA,LC-NA,NA-NA,NA-NA,NA-LC,NA-NA
Cyperus friburgensis,"NA","NA","NA","NA",NE,"NA"
Cyperus giganteus,"NA","NA","NA","NA",LC,"NA"
Cyperus haspan,"NA",LC,"NA","NA","NA","NA"
Cyperus hortensis,"NA",LC,"NA","NA","NA","NA"
Cyperus imbricatus,"NA",LC,"NA","NA","NA","NA"
Cyperus iria,"NA",LC,"NA","NA","NA","NA"
Cyperus lanceolatus,"NA",LC,"NA","NA","NA","NA"
Cyperus mundtii,"NA",LC,"NA","NA","NA","NA"
Cyperus polystachyos,"NA",LC,"NA","NA","NA","NA"
Cyperus rotundus,"NA",LC,"NA","NA",LC,"NA"
Cyperus sesquiflorus,"NA",LC,"NA","NA","NA","NA"
Cyperus unioloides,"NA",LC,"NA","NA","NA","NA"
Cyrtopodium blanchetii,"NA","NA","NA","NA",LC,VU
Cyrtopodium brandonianum,"NA",LC,"NA","NA",LC,EX
Cyrtopodium caiapoense,"NA","NA","NA",VU,"NA","NA"
Cyrtopodium dusenii,"NA","NA","NA","NA",LC,VU
Cyrtopodium flavum,"NA","NA","NA","NA",LC,"NA"
Cyrtopodium fowliei,"NA","NA","NA","NA",LC,EN
Cyrtopodium gigas,"NA","NA","NA","NA",LC,"NA"
Cyrtopodium hatschbachii,"NA","NA","NA",EN,EN,EN
Cyrtopodium lamellaticallosum,"NA","NA","NA",CR,"NA","NA"
Cyrtopodium latifolium,"NA","NA","NA",CR,"NA","NA"
Cyrtopodium linearifolium,"NA","NA","NA",CR,"NA","NA"
Cyrtopodium lissochiloides,"NA","NA","NA",VU,VU,EX
Cyrtopodium pallidum,"NA","NA","NA","NA",LC,"NA"
Cyrtopodium palmifrons,"NA","NA","NA",VU,VU,"NA"
Cyrtopodium paludicolum,"NA","NA","NA","NA",LC,"NA"
Cyrtopodium parviflorum,"NA","NA","NA","NA",LC,EX
Cyrtopodium poecilum,"NA","NA","NA",EN,"NA","NA"
Cyrtopodium triste,"NA","NA","NA",VU,VU,VU
Dacryodes edilsonii,"NA","NA","NA",EN,"NA","NA"
Dahlstedtia castaneifolia,"NA","NA","NA","NA",DD,"NA"
Dahlstedtia dehiscens,"NA","NA","NA","NA",DD,"NA"
Dahlstedtia floribunda,"NA","NA","NA","NA",LC,"NA"
Dahlstedtia muehlbergiana,"NA","NA","NA","NA",DD,"NA"
Dahlstedtia pentaphylla,"NA","NA","NA","NA",LC,"NA"
Dalbergia ecastaphyllum,"NA",LC,"NA","NA","NA","NA"
Dalbergia elegans,"NA","NA","NA",VU,"NA","NA"
Dalbergia ernest-ulei,"NA","NA","NA","NA",EN,"NA"
Dalbergia hortensis,"NA","NA","NA","NA",DD,"NA"
Dalbergia nigra,"NA",VU,"NA",VU,VU,CR
Dalechampia glechomifolia,"NA","NA","NA","NA",LC,"NA"
Dalechampia leandrii,"NA","NA","NA","NA",NT,"NA"
Dalechampia purpurata,"NA","NA","NA",EN,"NA","NA"
Dalechampia riparia,"NA","NA","NA",CR,"NA","NA"
Dalechampia weddelliana,"NA","NA","NA","NA",LC,"NA"
Danthonia cirrata,"NA","NA","NA",EN,EN,CR
Daphnopsis brasiliensis,"NA",LC,"NA","NA",LC,"NA"
Daphnopsis coriacea,"NA",LC,"NA","NA",LC,"NA"
Daphnopsis fasciculata,"NA",LC,"NA","NA","NA","NA"
Daphnopsis martii,"NA",LC,"NA","NA",LC,"NA"
Daphnopsis racemosa,"NA",LC,"NA","NA","NA","NA"
Daphnopsis schwackeana,"NA",LC,"NA","NA",LC,"NA"
Daphnopsis utilis,"NA",LC,"NA","NA",LC,"NA"
Dasyanthina serrata,"NA","NA","NA","NA",LC,"NA"
Dasycondylus dusenii,"NA","NA","NA","NA",NE,"NA"
Dasycondylus resinosus,"NA","NA","NA","NA",LC,"NA"
Dasyphyllum lanceolatum,"NA","NA","NA","NA",DD,"NA"
Dasyphyllum spinescens,"NA",LC,"NA","NA","NA","NA"
Davilla glaziovii,"NA","NA","NA",CR,"NA","NA"
Davilla macrocarpa,"NA","NA","NA",VU,"NA","NA"
Davilla nitida,"NA","NA","NA","NA",LC,"NA"
Declieuxia cordigera,"NA","NA","NA","NA",LC,EN
Declieuxia cordigera var. divergentiflora,"NA","NA","NA","NA","NA",EN
Declieuxia fruticosa,"NA","NA","NA","NA",LC,"NA"
Declieuxia oenanthoides,"NA","NA",EN,"NA",LC,EN
Delonix regia,"NA",LC,"NA","NA","NA","NA"
Dendropanax australis,"NA",LC,"NA","NA","NA","NA"
Dendropanax cuneatus,"NA",LC,"NA","NA",LC,"NA"
Dendropanax denticulatus,"NA",EN,"NA","NA",EN,"NA"
Dendropanax monogynus,"NA",LC,"NA","NA","NA","NA"
Dendropanax nebulosus,"NA",EN,"NA","NA",EN,"NA"
Dendrophorbium catharinense,"NA","NA","NA",VU,"NA","NA"
Dendrophorbium glaziovii,"NA","NA","NA","NA",NT,"NA"
Dendrophorbium paranense,"NA","NA","NA",EN,EN,"NA"
Dendrophorbium pluricephalum,"NA","NA","NA","NA",LC,"NA"
Dendrophthora warmingii,"NA","NA","NA","NA",CR,"NA"
Deschampsia cespitosa,"NA","NA","NA",EN,"NA","NA"
Desmodium adscendens,"NA",LC,"NA","NA","NA","NA"
Desmodium barbatum,"NA",LC,"NA","NA","NA","NA"
Desmodium cajanifolium,"NA",LC,"NA","NA","NA","NA"
Desmodium craspediferum,"NA","NA","NA",EN,"NA","NA"
Desmodium procumbens,"NA","NA","NA","NA",LC,"NA"
Desmodium subsecundum,"NA",DD,"NA","NA","NA","NA"
Desmoscelis villosa,"NA",LC,"NA","NA","NA","NA"
Deuterocohnia meziana,"NA","NA","NA",VU,"NA","NA"
Diandrolyra tatianae,"NA","NA","NA",EN,EN,EN
Dichaea anchorifera,"NA","NA","NA","NA",LC,"NA"
Dichaea mosenii,"NA","NA","NA",VU,VU,VU
Dichanthelium aequivaginatum,"NA","NA","NA","NA",NT,"NA"
Dichanthelium surrectum,"NA","NA","NA","NA",LC,"NA"
Dichorisandra acaulis,"NA","NA","NA",EN,"NA","NA"
Dichorisandra glaziovii,"NA","NA","NA",VU,"NA","NA"
Dichorisandra leucophthalmos,"NA","NA","NA",VU,"NA","NA"
Dichorisandra neglecta,"NA","NA","NA",CR,"NA","NA"
Dicksonia sellowiana,"NA","NA",VU,EN,EN,"NA"
Diclinanona matogrossensis,"NA","NA","NA","NA",DD,"NA"
