especie_original,cat_ameaca_cncflora_1,cat_ameaca_cncflora_0
Cryptanthus exaltatus,EN,NA
Cryptanthus fernseeoides,CR,NA
Cryptanthus fosterianus,CR,NA
Cryptanthus glazioui,CR,NA
Cryptanthus grazielae,DD,NA
Cryptanthus latifolius,DD,NA
Cryptanthus leuzingerae,DD,NA
Cryptanthus lutherianus,DD,NA
Cryptanthus maritimus,EN,NA
Cryptanthus minarum,EN,NA
Cryptanthus odoratissimus,EN,NA
Cryptanthus pseudoglazioui,DD,NA
Cryptanthus pseudoscaposus,EN,NA
Cryptanthus roberto-kautskyi,CR,NA
Cryptanthus scaposus,EN,NA
Cryptanthus sinuosus,EN,NA
Cryptanthus whitmanii,CR,NA
Cryptanthus zonatus,VU,NA
Cryptocarya riedeliana,LC,NA
Cryptocarya sellowiana,CR,NA
Cryptocarya velloziana,EN,NA
Cryptochloa capillata,LC,NA
Ctenardisia speciosa,DD,NA
Ctenitis anniesii,LC,NA
Ctenitis eriocaulis,LC,NA
Ctenitis fenestralis,DD,NA
Ctenitis flexuosa,DD,NA
Ctenium brevispicatum,LC,NA
Ctenium cirrhosum,DD,NA
Culcita coniifolia,NT,NA
Cunila incana,EN,NA
Cupania castaneaefolia,DD,NA
Cupania concolor,NT,VU
Cupania crassifolia,EN,NA
Cupania fluminensis,EN,EN
Cupania furfuracea,NT,VU
Cupania impressinervia,LC,NA
Cupania ludowigii,LC,NA
Cupania moraesiana,CR,NA
Cupania olivacea,DD,NA
Cupania racemosa,LC,NA
Cupania rugosa,LC,NA
Cupania schizoneura,CR,NA
Cupania zanthoxyloides,LC,NA
Cuphea acinifolia,LC,NA
Cuphea adenophylla,CR,NA
Cuphea anamariae,DD,NA
Cuphea aperta,LC,NA
Cuphea arenarioides,VU,NA
Cuphea bahiensis,EN,NA
Cuphea cipoensis,EN,NA
Cuphea cuiabensis,EN,NA
Cuphea cunninghamiifolia,EN,NA
Cuphea disperma,LC,NA
Cuphea fuchsiifolia,EN,NA
Cuphea glareosa,NT,NA
Cuphea glaziovii,EN,NA
Cuphea linarioides,LC,NA
Cuphea lindmaniana,EN,NA
Cuphea lucens,DD,NA
Cuphea lutescens,LC,NA
Cuphea melvilla,LC,NA
Cuphea potamophila,DD,NA
Cuphea repens,LC,NA
Cuphea rubro-virens,CR,NA
Cuphea sclerophylla,VU,NA
Cuphea sincorana,DD,NA
Cuphea teleandra,CR,NA
Cuphea warmingii,DD,NA
Cuphea xanthopetala,DD,NA
Curculigo scorzonerifolia,LC,NA
Curitiba prismatica,NA,VU
Curtia tenuifolia,LC,NA
Cuscuta obtusiflora,NT,NA
Cyanaeorchis arundinae,LC,NA
Cyathea corcovadensis,LC,NA
Cyathea glaziovii,LC,NA
Cyathea poeppigii,DD,NA
Cyathea pungens,LC,NA
Cybianthus barrosoanus,DD,NA
Cybianthus boissieri,VU,NA
Cybianthus densicomus,LC,NA
Cybianthus gracillimus,CR,NA
Cyclopogon dutrae,EN,NA
Cyclopogon gardneri,DD,NA
Cyclopogon proboscideus,DD,NA
Cyclopogon venustus,EN,NA
Cycnoches pentadactylum,EN,NA
Cylindrocolea brasiliensis,DD,NA
Cylindrocolea rhizantha,LC,NA
Cymbocarpa refracta,LC,NA
Cymbopetalum brasiliense,LC,NA
Cymbopetalum euneurum,EN,NA
Cynanchum brasiliense,DD,NA
Cynanchum morrenioides,CR,NA
Cynometra duckei,LC,NA
Cynometra macrocarpa,DD,NA
Cynometra marleneae,EN,NA
Cynometra stenopetala,LC,NA
Cyperus almensis,EN,NA
Cyperus atlanticus,VU,NA
Cyperus giganteus,LC,NA
Cyperus rotundus,LC,NA
Cyrtocarpa caatingae,LC,NA
Cyrtopodium blanchetii,LC,NA
Cyrtopodium braemii,LC,NA
Cyrtopodium brandonianum,LC,NA
Cyrtopodium caiapoense,VU,NA
Cyrtopodium dusenii,LC,NA
Cyrtopodium flavum,LC,NA
Cyrtopodium fowliei,LC,NA
Cyrtopodium gigas,LC,NA
Cyrtopodium hatschbachii,EN,NA
Cyrtopodium holstii,LC,NA
Cyrtopodium lamellaticallosum,CR,NA
Cyrtopodium latifolium,CR,NA
Cyrtopodium linearifolium,CR,NA
Cyrtopodium lissochiloides,VU,NA
Cyrtopodium pallidum,LC,NA
Cyrtopodium palmifrons,VU,NA
Cyrtopodium paludicolum,LC,NA
Cyrtopodium parviflorum,LC,NA
Cyrtopodium poecilum var. roseum,EN,NA
Cyrtopodium triste,VU,NA
Dacryodes edilsonii,EN,EN
Dahlstedtia bahiana,EN,NA
Dahlstedtia castaneifolia,DD,NA
Dahlstedtia dehiscens,DD,NA
Dahlstedtia floribunda,LC,NA
Dahlstedtia glaziovii,EN,NA
Dahlstedtia grandiflora,EN,NA
Dahlstedtia lewisiana,DD,NA
Dahlstedtia peckoltii,EN,NA
Dahlstedtia pentaphylla,LC,NA
Dalbergia acuta,LC,NA
Dalbergia cearensis,LC,NA
Dalbergia decipularis,LC,NA
Dalbergia elegans,LC,VU
Dalbergia ernest-ulei,EN,NA
Dalbergia glaucescens,LC,NA
Dalbergia glaziovii,EN,NA
Dalbergia hortensis,DD,NA
Dalbergia nigra,VU,VU
Dalechampia glechomifolia,LC,NA
Dalechampia granadilla,DD,NA
Dalechampia leandrii,NT,NA
Dalechampia purpurata,EN,NA
Dalechampia riparia,CR,NA
Dalechampia weddelliana,LC,NA
Danthonia cirrata,EN,NA
Daphnopsis martii,LC,NA
Daphnopsis pseudosalix,EN,NA
Dasyanthina serrata,LC,NA
Dasycondylus resinosus,LC,NA
Dasyphyllum cryptocephalum,EN,NA
Dasyphyllum leptacanthum,EN,NA
Dasyphyllum reticulatum,NT,NA
Dasyphyllum retinens,EN,NA
Dasyphyllum synacanthum,DD,NA
Dasyphyllum trichophyllum,VU,NA
Davilla glaziovii,EN,CR
Davilla macrocarpa,VU,NA
Davilla nitida,LC,NA
Declieuxia cordigera,LC,NA
Declieuxia fruticosa,LC,NA
Declieuxia oenanthoides,LC,NA
Deguelia costata,LC,NA
Deguelia hatschbachii,VU,NA
Dendropanax amorimii,EN,NA
Dendropanax brasiliensis,LC,NA
Dendropanax cuneatus,LC,NA
Dendropanax denticulatus,EN,NA
Dendropanax heterophyllus,CR,NA
Dendropanax langsdorfii,VU,NA
Dendropanax nebulosus,EN,NA
Dendropanax trilobus,CR,NA
Dendrophorbium catharinense,VU,NA
Dendrophorbium glaziovii,NT,NA
Dendrophorbium paranense,EN,NA
Dendrophorbium pluricephalum,LC,NA
Deschampsia caespitosa,EN,NA
Desmodium craspediferum,EN,NA
Desmodium glabrescens,EN,NA
Desmodium juruenense,EN,NA
Desmodium procumbens,LC,NA
Desmodium venosum,LC,NA
Deuterocohnia meziana,VU,NA
Dialium rondoniense,EN,NA
Diandrolyra tatianae,EN,NA
Dichaea anchorifera,LC,NA
Dichaea mosenii,VU,NA
Dichanthelium aequivaginatum,NT,NA
Dichanthelium assurgens,NT,NA
Dichanthelium congestum,DD,NA
Dichanthelium cucaense,EN,NA
Dichanthelium itatiaiae,DD,NA
Dichanthelium petropolitanum,DD,NA
Dichanthelium sendulskyii,DD,NA
Dichanthelium surrectum,LC,NA
Dichorisandra acaulis,EN,NA
Dichorisandra fluminensis,DD,NA
Dichorisandra gaudichaudiana,EN,NA
Dichorisandra glaziovii,VU,NA
Dichorisandra leucophthalmos,VU,NA
Dichorisandra nana,EN,NA
Dichorisandra neglecta,CR,NA
Dichorisandra odorata,VU,NA
Dichorisandra oxypetala,EN,NA
Dichorisandra perforans,LC,NA
Dichorisandra picta,CR,NA
Dicksonia sellowiana,EN,NA
Diclinanona matogrossensis,DD,NA
Dicliptera squarrosa,LC,NA
Dictyostega orobanchoides,LC,NA
Dicymbe amazonica,DD,NA
Dicymbe arenicola,EN,NA
Dicymbe heteroxylon,DD,NA
Dicymbe puncticulosa,EN,NA
Dicypellium caryophyllaceum,CR,CR
Dicypellium manausense,CR,NA
Didymoglossum kapplerianum,DD,NA
Didymoglossum ovale,LC,NA
Dieffenbachia aglaonematifolia,LC,NA
Digitaria chaseae,DD,NA
Digitaria corynotricha,LC,NA
Digitaria neesiana,EN,NA
Digitaria pampinosa,EN,NA
Digomphia densicoma,LC,VU
Dilodendron bipinnatum,LC,NA
Dimerandra emarginata,LC,NA
Dimerostemma annuum,EN,NA
Dimerostemma apense,NT,NA
Dimerostemma arnottii,LC,NA
Dimerostemma bahiense,DD,NA
Dimerostemma bishopii,DD,NA
Dimerostemma episcopale,EN,NA
Dimerostemma grazielae,VU,NA
Dimerostemma myrtifolium,EN,NA
Dimorphandra campinarum,LC,NA
Dimorphandra caudata,LC,NA
Dimorphandra exaltata,EN,NA
Dimorphandra jorgei,LC,NA
Dimorphandra mediocris,DD,NA
Dimorphandra urubuensis,LC,NA
Dimorphandra wilsonii,EN,CR
Dinizia jueirana-facao,CR,NA
Dioclea burkartii,LC,NA
Dioclea glabra,LC,NA
Diodella sarmentosa,LC,NA
Diodia macrophylla,DD,NA
Dioscorea aesculifolia,DD,NA
Dioscorea asperula,VU,NA
Dioscorea bradei,EN,NA
Dioscorea campanulata,EN,NA
Dioscorea campestris,LC,NA
Dioscorea grandiflora,LC,NA
Dioscorea itatiaiensis,CR,NA
Dioscorea kunthiana,LC,NA
Dioscorea loefgrenii,VU,NA
Dioscorea mantiqueirensis,CR,NA
Dioscorea margarethia,CR,NA
Dioscorea mollis,LC,NA
Dioscorea oppositiflora,DD,NA
Dioscorea organensis,DD,NA
Dioscorea orthogoneura,LC,NA
Dioscorea pedalis,VU,NA
Dioscorea pseudomacrocapsa,EN,NA
Dioscorea pumilio,DD,NA
Dioscorea rumicoides,LC,NA
Dioscorea sanpaulensis,EN,NA
Dioscorea septemnervis,DD,NA
Dioscorea sphaeroidea,CR,NA
Dioscorea stegelmanniana,LC,NA
Dioscorea trifida,LC,NA
Dioscorea trilinguis,EN,NA
Diospyros akaraiensis,DD,NA
Diospyros amabi,EN,NA
Diospyros apeibacarpos,LC,NA
Diospyros arupaj,DD,NA
Diospyros brasiliensis,NT,NA
Diospyros bullata,VU,NA
Diospyros cachimboensis,DD,NA
Diospyros coccolobifolia,LC,NA
Diospyros duartei,NT,NA
Diospyros guatterioides,DD,NA
Diospyros hispida,LC,NA
Diospyros inconstans,LC,NA
Diospyros ketun,VU,NA
Diospyros kondor,LC,NA
Diospyros landii,DD,NA
Diospyros longistyla,VU,NA
Diospyros manausensis,DD,NA
Diospyros mexiae,EN,EN
Diospyros riedelii,EN,NA
Diospyros santaremnensis,LC,NA
Diospyros scottmorii,EN,NA
Diospyros serrana,CR,NA
Diospyros tarim,EN,NA
Diospyros trombetensis,DD,NA
Diospyros ubaita,EN,NA
Diplopterys amplectens,NT,NA
Diplopterys cachimbensis,NT,NA
Diplopterys patula,NT,NA
Diplopterys sepium,EN,NA
Diplopterys virgultosa,LC,NA
Diplotropis ferruginea,LC,NA
Diplotropis incexis,LC,NA
Diplotropis rodriguesii,VU,NA
Diplusodon adpressipilus,EN,NA
Diplusodon aggregatifolius,EN,NA
Diplusodon alatus,EN,NA
Diplusodon appendiculosus,DD,NA
Diplusodon argenteus,EN,NA
Diplusodon argyrophyllus,CR,NA
Diplusodon bradei,VU,NA
Diplusodon canastrensis,EN,NA
Diplusodon capitalensis,EN,NA
Diplusodon capitatus,CR,NA
Diplusodon chapadensis,DD,NA
Diplusodon decussatus,EN,NA
Diplusodon ericoides,CR,NA
Diplusodon floribundus,EN,NA
Diplusodon glaziovii,CR,NA
Diplusodon glocimarii,EN,NA
Diplusodon gracilis,CR,NA
Diplusodon grahamae,DD,NA
Diplusodon hatschbachii,VU,NA
Diplusodon heringeri,EN,NA
Diplusodon kielmeyeroides,DD,NA
Diplusodon leucocalycinus,VU,NA
Diplusodon longipes,EN,NA
Diplusodon mattogrossensis,EN,NA
Diplusodon minasensis,EN,NA
Diplusodon mononeuros,DD,NA
Diplusodon nigricans,DD,NA
Diplusodon orbicularis,VU,NA
Diplusodon ovatus,EN,NA
Diplusodon panniculatus,CR,NA
Diplusodon parvifolius,NT,NA
Diplusodon petiolatus,EN,NA
Diplusodon plumbeus,EN,NA
Diplusodon pygmaeus,DD,NA
Diplusodon retroimbricatus,CR,NA
Diplusodon rosmarinifolius,LC,NA
Diplusodon rotundifolius,EN,NA
Diplusodon rupestris,DD,NA
Diplusodon saxatilis,DD,NA
Diplusodon sigillatus,EN,NA
Diplusodon sordidus,EN,NA
Diplusodon thysanosepalus,DD,NA
Diplusodon trigintus,EN,NA
Diplusodon vidalii,DD,NA
Diplusodon villosissimus,VU,NA
Dipteryx alata,LC,NA
Dipteryx hermetopascoalana,VU,NA
Discaria americana,VU,NA
Disciphania hernandia,DD,NA
Disciphania sagittaria,EN,NA
Discocactus bahiensis,VU,NA
Discocactus catingicola,VU,NA
Discocactus ferricola,DD,NA
Discocactus heptacanthus,DD,NA
Discocactus horstii,CR,NA
Discocactus placentiformis,NT,NA
Discocactus pseudoinsignis,CR,NA
Discocactus zehntneri,VU,NA
Discocarpus pedicellatus,VU,NA
Discolobium psoraleifolium,DD,NA
Disteganthus calatheoides,DD,NA
Disynaphia ericoides,EN,NA
Disynaphia praeficta,EN,NA
Disynaphia variolata,EN,NA
Ditassa aequicymosa,LC,NA
Ditassa arianeae,EN,NA
Ditassa auriflora,CR,NA
Ditassa cipoensis,EN,NA
Ditassa cordeiroana,EN,NA
Ditassa emmerichii,DD,NA
Ditassa fontellae,DD,NA
Ditassa guilleminiana,DD,NA
Ditassa imbricata,DD,NA
Ditassa insignis,EN,NA
Ditassa itambensis,EN,NA
Ditassa laevis,EN,NA
Ditassa leonii,VU,NA
Ditassa linearis,NT,NA
Ditassa longisepala,EN,NA
Ditassa maricaensis,EN,EN
Ditassa oberdanii,EN,NA
Ditassa obscura,EN,NA
Ditassa subumbellata,DD,NA
Ditrichum itatiaiae,CR,NA
Dolichoura spiritusanctensis,NT,NA
Doliocarpus glomeratus,LC,NA
Doliocarpus lancifolius,EN,NA
Dorstenia albertii,DD,NA
Dorstenia arifolia,LC,NA
Dorstenia bonijesu,LC,NA
Dorstenia brasiliensis,LC,NA
Dorstenia brevipetiolata,DD,NA
Dorstenia cayapia,LC,NA
Dorstenia conceptionis,EN,NA
Dorstenia contensis,VU,NA
Dorstenia elata,LC,NA
Dorstenia fischeri,VU,DD
Dorstenia gracilis,NT,NA
Dorstenia hildegardis,CR,NA
Dorstenia milaneziana,LC,NA
Dorstenia strangii,CR,NA
Dorstenia sucrei,DD,NA
Dorstenia tenuis,LC,NA
Doryopteris crenulans,DD,NA
Doryopteris itatiaiensis,EN,NA
Doryopteris lomariacea,LC,NA
Doryopteris magdalenensis,CR,NA
Doryopteris paradoxa,VU,NA
Doryopteris quinquelobata,DD,CR
Doryopteris rediviva,VU,NA
Doryopteris rosenstockii,EN,NA
Doryopteris rufa,EN,NA
Doryopteris subsimplex,EN,EN
Doryopteris tijucana,EN,EN
Doryopteris trilobata,EN,NA
Douradoa consimilis,LC,NA
Dracontioides desciscens,LC,NA
Drepanolejeunea aculeata,EN,NA
Drimys angustifolia,LC,NA
Drimys brasiliensis,LC,NA
Drosera graminifolia,CR,NA
Drosera graomogolensis,EN,NA
Drosera magnifica,CR,NA
Drosera quartzicola,EN,NA
Dryadella auriculigera,CR,NA
Dryadella gomesferreirae,DD,NA
Dryadella kautskyi,DD,NA
Dryadella lilliputiana,VU,NA
Dryadella susanae,CR,NA
Drymonia serrulata,LC,NA
Drypetes sessiliflora,LC,NA
Duckeanthus grandiflorus,DD,NA
Duckeodendron cestroides,LC,NA
Duguetia aripuanae,DD,NA
Duguetia bahiensis,VU,NA
Duguetia chrysocarpa,LC,NA
Duguetia dicholepidota,DD,NA
Duguetia elliptica,DD,NA
Duguetia fufuracea,LC,NA
Duguetia gardneriana,LC,NA
Duguetia glabriuscula,LC,NA
Duguetia lanceolata,LC,NA
Duguetia longicuspis,LC,NA
Duguetia magnolioidea,EN,EN
Duguetia manausensis,LC,NA
Duguetia megalocarpa,LC,NA
Duguetia microphylla,EN,NA
Duguetia pohliana,EN,NA
Duguetia restingae,CR,CR
Duguetia reticulata,DD,EN
Duguetia riedeliana,LC,NA
Duguetia rotundifolia,VU,DD
Duguetia salicifolia,LC,NA
Duguetia scottmorii,EN,CR
Duguetia sessilis,LC,NA
Duguetia sooretamae,EN,EN
Duguetia subcordata,EN,NA
Dungsia harpophylla,VU,NA
Dungsia kautskyi,CR,NA
Duroia hirsutissima,DD,NA
Duroia palustris,DD,NA
Duroia prancei,LC,NA
Duroia valesca,VU,NA
Dyckia agudensis,CR,NA
Dyckia alba,DD,NA
Dyckia bracteata,LC,NA
Dyckia brevifolia,DD,NA
Dyckia cabrerae,EN,NA
Dyckia choristaminea,DD,NA
Dyckia commixta,DD,NA
Dyckia delicata,CR,NA
Dyckia distachya,CR,NA
Dyckia domfelicianensis,CR,NA
Dyckia dusenii,DD,NA
Dyckia elisabethae,DD,NA
Dyckia encholirioides,NT,NA
Dyckia fosteriana,EN,NA
Dyckia hatschbachii,CR,NA
Dyckia hebdingii,DD,NA
Dyckia ibicuiensis,CR,NA
Dyckia ibiramensis,EN,NA
Dyckia irmgardiae,DD,NA
Dyckia julianae,DD,NA
Dyckia maritima,EN,NA
Dyckia martinellii,CR,NA
Dyckia minarum,LC,NA
Dyckia monticola,CR,NA
Dyckia polycladus,DD,NA
Dyckia pseudococcinea,CR,CR
Dyckia rariflora,EN,NA
Dyckia reitzii,EN,NA
Dyckia remotiflora,EN,NA
Dyckia retroflexa,DD,NA
Dyckia rigida,DD,NA
Dyckia tuberosa,LC,NA
Dyckia ursina,CR,NA
Dyschoriste lavandulaceae,EN,NA
Dyschoriste smithii,CR,NA
Dyssochroma longipes,LC,NA
Dyssochroma viridiflora,LC,NA
Ecclinusa bullata,DD,NA
Ecclinusa lancifolia,DD,NA
Echinocoryne echinocephala,EN,NA
Echinodorus bolivianus,LC,NA
Echinodorus lanceolatus,LC,NA
Echinodorus paniculatus,LC,NA
Echinopsis calochlora,CR,NA
Echinopsis oxygona,EN,NA
Edmundoa lindenii,LC,NA
Eduandrea selloana,EN,NA
Egletes viscosa,LC,NA
Eithea blumenavia,EN,NA
Elachyptera coriacea,DD,NA
Elachyptera festiva,LC,NA
Elachyptera micrantha,LC,NA
Elaphoglossum acrocarpum,VU,NA
Elaphoglossum amplissimum,EN,NA
Elaphoglossum beckeri,CR,NA
Elaphoglossum edwallii,LC,NA
Elaphoglossum gayanum,LC,NA
Elaphoglossum herminieri,DD,NA
Elaphoglossum iguapense,LC,NA
Elaphoglossum insigne,LC,NA
Elaphoglossum itatiayense,NT,NA
Elaphoglossum jamesonii,DD,NA
Elaphoglossum langsdorffii,LC,NA
Elaphoglossum macahense,LC,NA
Elaphoglossum mourae,DD,NA
Elaphoglossum nigrescens,LC,NA
Elaphoglossum pteropus,LC,NA
Elaphoglossum strictum,LC,NA
Elaphoglossum tamandarei,NT,NA
Elaphoglossum tectum,LC,NA
Elaphoglossum wettsteinii,NT,NA
Eleocharis barrosii,LC,NA
Eleocharis bonariensis,LC,NA
Eleocharis loefgreniana,LC,NA
Eleocharis morroi,EN,NA
Eleocharis olivaceonux,EN,NA
Eleocharis plicarhachis,LC,NA
Eleocharis stenocarpa,DD,NA
Eleocharis urceolata,DD,NA
Elephantopus riparius,LC,NA
Elizabetha speciosa,VU,NA
Elleanthus linifolius,LC,NA
Eltroplectris calcarata,LC,NA
Eltroplectris kuhlmanniana,DD,NA
Elvasia capixaba,DD,NA
Elvasia gigantifolia,VU,NA
Elvasia kollmannii,DD,NA
Elvasia tricarpellata,LC,NA
Encholirium biflorum,CR,NA
Encholirium disjunctum,CR,NA
Encholirium fragae,DD,NA
Encholirium gracile,EN,NA
Encholirium heloisae,EN,NA
Encholirium horridum,EN,NA
Encholirium irwinii,CR,NA
Encholirium kranzianum,CR,NA
Encholirium longiflorum,CR,NA
Encholirium luxor,EN,NA
Encholirium pedicellatum,CR,NA
Encholirium scrutor,EN,NA
Encholirium splendidum,EN,NA
Encholirium vogelii,CR,NA
Encyclia advena,LC,NA
Encyclia argentinensis,LC,NA
Encyclia bragancae,EN,NA
Encyclia fowliei,DD,NA
Endlicheria balsamea,DD,NA
Endlicheria coriacea,EN,NA
Endlicheria lhotzkyi,VU,NA
Enterolobium glaziovii,LC,NA
Enterolobium gummiferum,LC,NA
Enterolobium monjollo,LC,NA
Enydra anagallis,LC,NA
Eperua duckeana,LC,NA
Eperua glabriflora,LC,NA
Eperua oleifera,LC,NA
Eperua praesagata,DD,NA
Ephedranthus dimerus,LC,NA
Epidendrum addae,VU,NA
Epidendrum ammophilum,EN,NA
Epidendrum ansiferum,LC,NA
Epidendrum caldense,LC,NA
Epidendrum carpophorum,LC,NA
Epidendrum chlorinum,LC,NA
Epidendrum coronatum,LC,NA
Epidendrum cristatum,LC,NA
Epidendrum dendrobioides,LC,NA
Epidendrum ecostatum,VU,NA
Epidendrum filicaule,LC,NA
Epidendrum geniculatum,NT,NA
Epidendrum goebelii,DD,NA
Epidendrum harrisoniae,CR,NA
Epidendrum henschenii,EN,NA
Epidendrum hololeucum,NT,NA
Epidendrum infaustum,DD,NA
Epidendrum kautskyi,DD,NA
Epidendrum macrocarpum,LC,NA
Epidendrum martianum,LC,NA
Epidendrum paranaense,LC,NA
Epidendrum polyanthum,DD,NA
Epidendrum proligerum,LC,NA
Epidendrum robustum,VU,NA
Epidendrum saxatile,LC,NA
Epidendrum secundum,LC,NA
Epidendrum tridactylum,LC,NA
Epidendrum vesicatum,LC,NA
Epidendrum zappii,EN,NA
Epiphyllum phyllanthus,LC,NA
Epistephium portellianum,DD,NA
Eragrostis neesii,LC,NA
Eremanthus arboreus,CR,NA
Eremanthus argenteus,EN,EN
Eremanthus auriculatus,VU,NA
Eremanthus brasiliensis,DD,NA
Eremanthus brevifolius,CR,NA
Eremanthus capitatus,LC,NA
Eremanthus cinctus,LC,NA
Eremanthus crotonoides,LC,NA
Eremanthus elaeagnus,LC,NA
Eremanthus glomerulatus,LC,NA
Eremanthus goyazensis,LC,NA
Eremanthus leucodendron,EN,NA
Eremanthus ovatifolius,CR,NA
Eremanthus pabstii,EN,NA
Eremanthus polycephalus,NT,VU
Eremanthus praetermissus,VU,NA
Eremanthus seidelii,VU,NA
Eremanthus uniflorus,LC,NA
Eremanthus veadeiroensis,EN,NA
Erianthecium bulbosum,CR,NA
Eriocaulon aquatile,LC,NA
Eriocaulon burchellii,EN,NA
Eriocaulon cipoense,CR,NA
Eriocaulon griseum,DD,NA
Eriocaulon melanolepis,DD,NA
Eriocaulon papillosum,DD,NA
Eriochrysis filiformis,LC,NA
Eriocnema acaulis,EN,NA
Eriocnema fulva,VU,NA
Eriope anamariae,EN,NA
Eriope angustifolia,CR,NA
Eriope blanchetii,VU,NA
Eriope confusa,EN,NA
Eriope crassipes,LC,NA
Eriope crassipes subsp. cristalinae,CR,NA
Eriope filifolia,EN,NA
Eriope luetzelburgii,VU,NA
Eriope machrisae,EN,NA
Eriope macrostachya,LC,NA
Eriope montana,VU,NA
Eriope obovata var. gracilis,EN,NA
Eriope simplex,NT,NA
Eriope sincorana,NT,NA
Eriope xavantium,DD,NA
Eriosema glaziovii,DD,NA
Eriosema platycarpon,DD,NA
Eriosorus biardii,EN,NA
Eriosorus cheilanthoides,EN,NA
Eriosorus insignis,EN,NA
Eriosorus rufescens,CR,NA
Eriotheca bahiensis,EN,NA
Eriotheca candolleana,LC,NA
Eriotheca dolichopoda,VU,NA
Eriotheca estevesiae,NT,NA
Eriotheca longipedicellata,VU,NA
Eriotheca longipes,EN,NA
Eriotheca obcordata,LC,NA
Eriotheca pubescens,LC,NA
Eriotheca saxicola,CR,NA
Erisma arietinum,EN,EN
Erisma bracteosum,LC,NA
Erisma fuscum,EN,NA
Erisma lanceolatum,DD,NA
Erithalis insularis,CR,NA
Erycina pusilla,LC,NA
Eryngium corallinum,CR,NA
Eryngium divaricatum,EN,NA
Eryngium dorae,CR,NA
Eryngium dusenii,DD,NA
Eryngium ekmanii,LC,NA
Eryngium eriophorum,LC,NA
Eryngium eurycephalum,NT,NA
Eryngium falcifolium,EN,NA
Eryngium fluminense,VU,NA
Eryngium glaziovianum,DD,NA
Eryngium koehneanum,VU,NA
Eryngium ombrophilum,EN,NA
Eryngium ramboanum,CR,NA
Eryngium sanguisorba,LC,NA
Eryngium scirpinum,EN,NA
Eryngium smithii,EN,NA
Eryngium stenophyllum,DD,NA
Eryngium urbanianum,EN,NA
Eryngium zosterifolium,VU,NA
Erythrina verna,LC,NA
Erythrophyllastrum andinum,DD,NA
Erythroxylum ambiguum,LC,NA
Erythroxylum andrei,NT,NA
Erythroxylum anguifugum,LC,NA
Erythroxylum ayrtonianum,CR,NA
Erythroxylum bezerrae,EN,NA
Erythroxylum catharinense,EN,NA
Erythroxylum cincinnatum,EN,NA
Erythroxylum coelophlebium,LC,NA
Erythroxylum compressum,EN,NA
Erythroxylum distortum,NT,NA
Erythroxylum frangulifolium,EN,NA
Erythroxylum grandifolium,NT,NA
Erythroxylum leal-costae,CR,CR
Erythroxylum magnoliifolium,EN,NA
Erythroxylum maracasense,NT,NT
Erythroxylum mattos-silvae,EN,EN
Erythroxylum membranaceum,EN,NA
Erythroxylum myrsinites,LC,NA
Erythroxylum nelson-rosae,EN,NA
Erythroxylum nitidum,EN,NA
Erythroxylum occultum,CR,NA
Erythroxylum ovalifolium,VU,NA
Erythroxylum passerinum,LC,NA
Erythroxylum pauferrense,LC,EN
Erythroxylum pelleterianum,LC,NA
Erythroxylum petrae-caballi,VU,VU
Erythroxylum plowmanii,LC,NA
Erythroxylum pulchrum,LC,NA
Erythroxylum sobraleanum,CR,NA
Erythroxylum splendidum,EN,NA
Erythroxylum tapacuranum,DD,NA
Erythroxylum tianguanum,CR,NA
Escallonia chlorophylla,LC,NA
Escallonia farinacea,LC,NA
Escallonia obtusissima,VU,NA
Escallonia petrophila,EN,NA
Eschweilera alvimii,EN,EN
Eschweilera amazonica,LC,NA
Eschweilera amazoniciformis,DD,NA
Eschweilera atropetiolata,LC,NA
Eschweilera carinata,LC,NA
Eschweilera complanata,EN,NA
Eschweilera compressa,EN,EN
Eschweilera cyathiformis,LC,NA
Eschweilera mattos-silvae,VU,NA
Eschweilera obversa,LC,NA
Eschweilera piresii,LC,NA
Eschweilera pseudodecolorans,LC,NA
Eschweilera punctata,LC,NA
Eschweilera rabeliana,DD,NA
Eschweilera rankiniae,EN,NA
Eschweilera rhododendrifolia,LC,NA
Eschweilera rionegrense,LC,NA
Eschweilera romeu-cardosoi,LC,NA
Eschweilera roraimensis,LC,NA
Eschweilera sphaerocarpa,CR,NA
Eschweilera subcordata,CR,EN
Eschweilera tetrapetala,EN,EN
Eschweilera truncata,LC,NA
Escobedia grandiflora,LC,NA
Esenbeckia decidua,LC,NA
Esenbeckia hieronymi,NT,NA
Esenbeckia irwiniana,EN,NA
Esenbeckia leiocarpa,LC,NA
Esenbeckia oligantha,EN,NA
Esenbeckia pilocarpoides,LC,NA
Espostoopsis dybowskii,EN,NA
Esterhazya caesarea,VU,NA
Esterhazya nanuzae,EN,NA
Eubrachion ambiguum,LC,NA
Eugenia agathopoda,LC,NA
Eugenia altissima,EN,NA
Eugenia amorimii,CR,NA
Eugenia angustissima,LC,NA
Eugenia anomala,LC,NA
Eugenia arenaria,LC,NA
Eugenia arenosa,LC,NA
Eugenia arrabidae,DD,NA
Eugenia arvensis,DD,NA
Eugenia astringens,LC,NA
Eugenia augustana,DD,NA
Eugenia aurata,LC,NA
Eugenia badia,DD,NA
Eugenia bahiana,DD,NA
Eugenia bahiensis,LC,NA
Eugenia barrana,CR,NA
Eugenia batingabranca,LC,NA
Eugenia belemitana,VU,NA
